source,target,annotation
Keeping the Secret of Genetic Testing,Keeping the Secret of Genetic Testing,NONE
What is genetic risk ?,What is genetic risk ?,NONE
Genetic risk refers more to your chance of inheriting a disorder or disease .,Genetic risk refers to your chance of inheriting a disorder or disease .,A 3 4|||Rloc-||||||REQUIRED|||-NONE-|||0
People get certain disease because of genetic changes .,People get certain diseases because of genetic mutations .,A 3 4|||Nn|||diseases|||REQUIRED|||-NONE-|||0; A 7 8|||Wci|||mutations|||REQUIRED|||-NONE-|||0
How much a genetic change tells us about your chance of developing a disorder is not always clear .,How much a genetic mutation affects your chance the developing a disorder is not always clear .,A 4 5|||Wci|||mutation|||REQUIRED|||-NONE-|||0; A 5 8|||Wci|||affects|||REQUIRED|||-NONE-|||0; A 8 9|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0
"If your genetic results indicate that you have gene changes associated with an increased risk of heart disease , it does not mean that you definitely will develop heart disease .","If the genetic results indicate the presence of gene changes associated with an increased risk of heart disease , it does not mean that you definitely . is certain",A 1 2|||ArtOrDet|||the|||REQUIRED|||-NONE-|||0; A 5 8|||Wci|||the presence of|||REQUIRED|||-NONE-|||0; A 24 28|||Rloc-||||||REQUIRED|||-NONE-|||0; A 30 30|||Others|||is certain|||REQUIRED|||-NONE-|||0
The opposite is also true .,The opposite is also true .,NONE
"If your genetic results show that you do not have changes associated with an increased risk of heart disease , it is still possible that you develop heart disease .","If your genetic results show that you do not have mutations associated with an increased risk of heart disease , it is still possible to develop heart disease .",A 10 11|||Wci|||mutations|||REQUIRED|||-NONE-|||0; A 24 26|||Prep|||to|||REQUIRED|||-NONE-|||0
"However for some rare diseases , people who have certain gene changes are guaranteed to develop the disease .","However , for some rare diseases , people who have certain mutations changes are guaranteed to develop the disease .","A 1 1|||Mec|||,|||REQUIRED|||-NONE-|||0; A 11 12|||Wci|||mutations|||REQUIRED|||-NONE-|||0"
"When we are diagonosed out with certain genetic disease , are we suppose to disclose this result to our relatives ?","When we are diagnosed with certain a genetic disease , are we supposed to disclose this result to our relatives ?",A 3 4|||Mec|||diagnosed|||REQUIRED|||-NONE-|||0; A 4 5|||Prep||||||REQUIRED|||-NONE-|||0; A 6 6|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 12 13|||Vform|||supposed|||REQUIRED|||-NONE-|||0
My answer is no .,My answer is no .,NONE
