source,target,annotation
Keeping the Secret of Genetic Testing,Keeping the Secret of Genetic Testing,NONE
What is genetic risk ?,What is genetic risk ?,NONE
Genetic risk refers more to your chance of inheriting a disorder or disease .,Genetic risk refers to your chance of inheriting a disorder or disease .,A 3 4|||Rloc-||||||REQUIRED|||-NONE-|||0
People get certain disease because of genetic changes .,People get certain diseases because of genetic changes .,A 3 4|||Nn|||diseases|||REQUIRED|||-NONE-|||0
How much a genetic change tells us about your chance of developing a disorder is not always clear .,How much a genetic change tells us about your chance of developing a disorder is not always clear .,NONE
"If your genetic results indicate that you have gene changes associated with an increased risk of heart disease , it does not mean that you definitely will develop heart disease .","If your genetic results indicate that you have gene changes associated with an increased risk of heart disease , it does not mean that you definitely will develop heart disease .",NONE
The opposite is also true .,The opposite is also true .,NONE
"If your genetic results show that you do not have changes associated with an increased risk of heart disease , it is still possible that you develop heart disease .","If your genetic results show that you do not have changes associated with an increased risk of heart disease , it is still possible that you will develop heart disease .",A 26 26|||Vm|||will|||REQUIRED|||-NONE-|||0
"However for some rare diseases , people who have certain gene changes are guaranteed to develop the disease .","However for some rare diseases , people who have certain gene changes are guaranteed to develop the disease .",NONE
"When we are diagonosed out with certain genetic disease , are we suppose to disclose this result to our relatives ?","When we are diagnosed with certain a genetic disease , are we supposed to disclose this result to our relatives ?",A 3 4|||Mec|||diagnosed|||REQUIRED|||-NONE-|||0; A 4 5|||Prep||||||REQUIRED|||-NONE-|||0; A 6 6|||ArtOrDet|||a|||REQUIRED|||-NONE-|||0; A 12 13|||Vform|||supposed|||REQUIRED|||-NONE-|||0
My answer is no .,My answer is no .,NONE
"On one hand , we do not want this potential danger causing firghtenning affects in our families ' later lives .","On one hand , we do not want this potential danger to cause frightening effects in our family 's later lives .",A 11 12|||Vform|||to cause|||REQUIRED|||-NONE-|||0; A 12 13|||Mec|||frightening|||REQUIRED|||-NONE-|||0; A 13 14|||Wform|||effects|||REQUIRED|||-NONE-|||0; A 16 18|||Npos|||family 's|||REQUIRED|||-NONE-|||0
