Before Statements,After Statements,Error Correction,Generated Statements
Keeping the Secret of Genetic Testing,Keeping the Secret of Genetic Testing,[],Original Text:
What is genetic risk?,What is genetic risk?,[],What is genetic risk?
Genetic risk refers more to your chance of inheriting a disorder or disease.,Genetic risk refers to your chance of inheriting a disorder or disease.,"[{'idx_src': [3], 'idx_tgt': [], 'corr_type': 'ArtOrDet'}]",Genetic risk refers more to your chance of inheriting a disorder or disease.
People get certain disease because of genetic changes.,People get certain diseases because of genetic changes.,"[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Nn'}]",People get certain diseases because of genetic changes.
How much a genetic change tells us about your chance of developing a disorder is not always clear.,How much a genetic change tells us about your chance of developing a disorder is not always clear.,[],How much a genetic change tells us about your chances of developing a disorder is not always clear.
"If your genetic results indicate that you have gene changes associated with an increased risk of heart disease, it does not mean that you definitely will develop heart disease.","If your genetic results indicate that you have gene changes associated with an increased risk of heart disease, it does not mean that you definitely will develop heart disease.",[],"If your genetic results indicate that you have gene changes associated with an increased risk of heart disease, it does not mean that you definitely will develop heart disease."
The opposite is also true.,The opposite is also true.,[],The opposite is also true.
"If your genetic results show that you do not have changes associated with an increased risk of heart disease, it is still possible that you develop heart disease.","If your genetic results show that you do not have changes associated with an increased risk of heart disease, it is still possible that you develop heart disease.",[],"If your genetic results show that you do not have changes associated with an increased risk of heart disease, it is still possible that you develop heart disease."
"However for some rare diseases, people who have certain gene changes are guaranteed to develop the disease.","However, for some rare diseases, people who have certain gene changes are guaranteed to develop the disease.","[{'idx_src': [], 'idx_tgt': [1], 'corr_type': 'Trans'}]","However, for some rare diseases, people who have certain gene changes are guaranteed to develop the disease."
"When we are diagonosed out with certain genetic disease, are we suppose to disclose this result to our relatives?","When we are diagnosed with certain genetic diseases, are we suppose to disclose this result to our relatives?","[{'idx_src': [3], 'idx_tgt': [3], 'corr_type': 'Mec'}, {'idx_src': [4], 'idx_tgt': [], 'corr_type': 'Prep'}, {'idx_src': [8], 'idx_tgt': [7], 'corr_type': 'Nn'}]","When we are diagnosed with a certain genetic disease, are we supposed to disclose this result to our relatives?"
My answer is no.,My answer is no.,[],My answer is no.
"On one hand, we do not want this potential danger causing firghtenning affects in our families' later lives.","On one hand, we do not want this potential danger having frightening effects in our families' later lives.","[{'idx_src': [11], 'idx_tgt': [11], 'corr_type': 'Wci'}, {'idx_src': [12], 'idx_tgt': [12], 'corr_type': 'Mec'}, {'idx_src': [13], 'idx_tgt': [13], 'corr_type': 'Wform'}]","On one hand, we do not want this potential danger causing frightening effects on our families' later lives."
"When people around us know that we got certain disease, their altitudes will be easily changed, whether caring us too much or keeping away from us.","When people around us know that we have certain diseases, their attitude will easily change, whether caring for us too much or keeping away from us.","[{'idx_src': [7], 'idx_tgt': [7], 'corr_type': 'Wci'}, {'idx_src': [9], 'idx_tgt': [9], 'corr_type': 'Nn'}, {'idx_src': [12], 'idx_tgt': [12], 'corr_type': 'Mec'}, {'idx_src': [14, 15, 16], 'idx_tgt': [14, 15], 'corr_type': 'Vform'}, {'idx_src': [], 'idx_tgt': [19], 'corr_type': 'Prep'}]","When people around us know that we have a certain disease, their attitudes will be easily changed, whether caring for us too much or keeping away from us."
And both are not what we want since most of us just want to live as normal people.,And both are not what we want since most of us just want to live as normal people.,[],"And both are not what we want, since most of us just want to live as normal people."
"Surrounded by such concerns, it is very likely that we are distracted to worry about these problems.","Surrounded by such concerns, it is very likely that we are distracted and worry about these problems.","[{'idx_src': [13], 'idx_tgt': [13], 'corr_type': 'Trans'}]","Surrounded by such concerns, it is very likely that we are distracted from worrying about these problems."
